t,y[0],y[1]
9.970900e+05,2.810000e+15,5.151023e+33
9.960900e+05,2.820000e+15,5.150055e+33
9.960900e+05,2.830000e+15,5.149014e+33
9.950900e+05,2.840000e+15,5.148377e+33
9.950900e+05,2.850000e+15,5.147309e+33
9.940901e+05,2.860000e+15,5.146577e+33
9.930901e+05,2.870000e+15,5.144844e+33
9.930901e+05,2.880000e+15,5.143840e+33
9.920901e+05,2.890000e+15,5.142726e+33
9.920901e+05,2.900000e+15,5.141635e+33
9.910901e+05,2.910000e+15,5.140491e+33
9.910901e+05,2.920000e+15,5.139315e+33
9.900901e+05,2.930000e+15,5.138269e+33
9.900901e+05,2.940000e+15,5.137072e+33
9.890901e+05,2.950000e+15,5.135937e+33
9.890901e+05,2.960000e+15,5.134719e+33
9.880901e+05,2.970000e+15,5.133624e+33
9.880901e+05,2.980000e+15,5.132388e+33
9.870901e+05,2.990000e+15,5.131809e+33
9.870901e+05,3.000000e+15,5.130251e+33
9.520905e+05,4.000000e+15,5.022430e+33
9.350906e+05,5.000000e+15,4.951814e+33
9.270907e+05,6.000000e+15,4.909824e+33
9.230908e+05,7.000000e+15,4.884823e+33
9.200908e+05,8.000000e+15,4.869019e+33
9.180908e+05,9.000000e+15,4.858600e+33
9.170908e+05,1.000000e+16,4.851956e+33
9.170908e+05,1.100000e+16,4.848009e+33
9.160908e+05,1.200000e+16,4.844415e+33
