radius,rest_mass_density,gravitational_mass,pressure,energy_density
5.452220e+02,3.989985e+15,1.315711e+25,2.063250e+37,1.240211e+37
5.477625e+02,3.989985e+15,1.328991e+25,2.063250e+37,1.240211e+37
5.503049e+02,3.989985e+15,1.342404e+25,2.063250e+37,1.240211e+37
5.528494e+02,3.989985e+15,1.355952e+25,2.063250e+37,1.240211e+37
5.553960e+02,3.989985e+15,1.369637e+25,2.063250e+37,1.240211e+37
5.579448e+02,3.989985e+15,1.383459e+25,2.063250e+37,1.240211e+37
5.604960e+02,3.989985e+15,1.397420e+25,2.063250e+37,1.240211e+37
5.630495e+02,3.989985e+15,1.411522e+25,2.063250e+37,1.240211e+37
5.656054e+02,3.989985e+15,1.425765e+25,2.063249e+37,1.240211e+37
5.681639e+02,3.989985e+15,1.440152e+25,2.063249e+37,1.240211e+37
5.707251e+02,3.989985e+15,1.454683e+25,2.063249e+37,1.240211e+37
5.732890e+02,3.989985e+15,1.469361e+25,2.063249e+37,1.240210e+37
5.758556e+02,3.989985e+15,1.484186e+25,2.063249e+37,1.240210e+37
5.784252e+02,3.989984e+15,1.499161e+25,2.063249e+37,1.240210e+37
5.809977e+02,3.989984e+15,1.514286e+25,2.063249e+37,1.240210e+37
5.835732e+02,3.989984e+15,1.529563e+25,2.063249e+37,1.240210e+37
5.861519e+02,3.989984e+15,1.544994e+25,2.063248e+37,1.240210e+37
5.887337e+02,3.989984e+15,1.560580e+25,2.063248e+37,1.240210e+37
5.913188e+02,3.989984e+15,1.576323e+25,2.063248e+37,1.240210e+37
5.939072e+02,3.989984e+15,1.592224e+25,2.063248e+37,1.240210e+37
5.964990e+02,3.989984e+15,1.608285e+25,2.063248e+37,1.240210e+37
5.990943e+02,3.989984e+15,1.624508e+25,2.063248e+37,1.240210e+37
6.016931e+02,3.989984e+15,1.640894e+25,2.063248e+37,1.240210e+37
6.042956e+02,3.989984e+15,1.657445e+25,2.063247e+37,1.240210e+37
6.069018e+02,3.989984e+15,1.674163e+25,2.063247e+37,1.240210e+37
6.095117e+02,3.989984e+15,1.691049e+25,2.063247e+37,1.240210e+37
6.121254e+02,3.989983e+15,1.708104e+25,2.063247e+37,1.240209e+37
6.147431e+02,3.989983e+15,1.725331e+25,2.063247e+37,1.240209e+37
6.173647e+02,3.989983e+15,1.742732e+25,2.063247e+37,1.240209e+37
6.199903e+02,3.989983e+15,1.760308e+25,2.063247e+37,1.240209e+37
6.226200e+02,3.989983e+15,1.778060e+25,2.063246e+37,1.240209e+37
6.252539e+02,3.989983e+15,1.795991e+25,2.063246e+37,1.240209e+37
6.278920e+02,3.989983e+15,1.814103e+25,2.063246e+37,1.240209e+37
6.305344e+02,3.989983e+15,1.832397e+25,2.063246e+37,1.240209e+37
6.331812e+02,3.989983e+15,1.850875e+25,2.063246e+37,1.240209e+37
6.358323e+02,3.989983e+15,1.869539e+25,2.063246e+37,1.240209e+37
6.384880e+02,3.989983e+15,1.888390e+25,2.063246e+37,1.240209e+37
6.411481e+02,3.989983e+15,1.907432e+25,2.063245e+37,1.240209e+37
6.438129e+02,3.989982e+15,1.926665e+25,2.063245e+37,1.240209e+37
6.464824e+02,3.989982e+15,1.946091e+25,2.063245e+37,1.240209e+37
6.491565e+02,3.989982e+15,1.965713e+25,2.063245e+37,1.240208e+37
6.518355e+02,3.989982e+15,1.985533e+25,2.063245e+37,1.240208e+37
6.545193e+02,3.989982e+15,2.005552e+25,2.063245e+37,1.240208e+37
6.572079e+02,3.989982e+15,2.025772e+25,2.063244e+37,1.240208e+37
6.599016e+02,3.989982e+15,2.046196e+25,2.063244e+37,1.240208e+37
6.626002e+02,3.989982e+15,2.066826e+25,2.063244e+37,1.240208e+37
6.653040e+02,3.989982e+15,2.087663e+25,2.063244e+37,1.240208e+37
6.680128e+02,3.989982e+15,2.108709e+25,2.063244e+37,1.240208e+37
6.707269e+02,3.989982e+15,2.129968e+25,2.063244e+37,1.240208e+37
6.734461e+02,3.989981e+15,2.151441e+25,2.063244e+37,1.240208e+37
6.761707e+02,3.989981e+15,2.173129e+25,2.063243e+37,1.240208e+37
6.789007e+02,3.989981e+15,2.195036e+25,2.063243e+37,1.240208e+37
6.816360e+02,3.989981e+15,2.217164e+25,2.063243e+37,1.240208e+37
6.843769e+02,3.989981e+15,2.239514e+25,2.063243e+37,1.240208e+37
6.871232e+02,3.989981e+15,2.262089e+25,2.063243e+37,1.240207e+37
6.898751e+02,3.989981e+15,2.284891e+25,2.063243e+37,1.240207e+37
6.926327e+02,3.989981e+15,2.307923e+25,2.063242e+37,1.240207e+37
6.953959e+02,3.989981e+15,2.331186e+25,2.063242e+37,1.240207e+37
6.981649e+02,3.989981e+15,2.354684e+25,2.063242e+37,1.240207e+37
7.009396e+02,3.989980e+15,2.378418e+25,2.063242e+37,1.240207e+37
7.037203e+02,3.989980e+15,2.402391e+25,2.063242e+37,1.240207e+37
7.065068e+02,3.989980e+15,2.426606e+25,2.063242e+37,1.240207e+37
7.092992e+02,3.989980e+15,2.451064e+25,2.063241e+37,1.240207e+37
7.120977e+02,3.989980e+15,2.475768e+25,2.063241e+37,1.240207e+37
7.149022e+02,3.989980e+15,2.500721e+25,2.063241e+37,1.240207e+37
7.177128e+02,3.989980e+15,2.525925e+25,2.063241e+37,1.240207e+37
7.205295e+02,3.989980e+15,2.551383e+25,2.063241e+37,1.240206e+37
7.233525e+02,3.989980e+15,2.577097e+25,2.063240e+37,1.240206e+37
7.261817e+02,3.989980e+15,2.603069e+25,2.063240e+37,1.240206e+37
7.290172e+02,3.989979e+15,2.629304e+25,2.063240e+37,1.240206e+37
7.318591e+02,3.989979e+15,2.655802e+25,2.063240e+37,1.240206e+37
7.347074e+02,3.989979e+15,2.682567e+25,2.063240e+37,1.240206e+37
7.375622e+02,3.989979e+15,2.709601e+25,2.063240e+37,1.240206e+37
7.404235e+02,3.989979e+15,2.736908e+25,2.063239e+37,1.240206e+37
7.432913e+02,3.989979e+15,2.764489e+25,2.063239e+37,1.240206e+37
7.461657e+02,3.989979e+15,2.792348e+25,2.063239e+37,1.240206e+37
7.490468e+02,3.989979e+15,2.820487e+25,2.063239e+37,1.240206e+37
7.519346e+02,3.989979e+15,2.848910e+25,2.063239e+37,1.240205e+37
7.548292e+02,3.989978e+15,2.877619e+25,2.063238e+37,1.240205e+37
7.577306e+02,3.989978e+15,2.906616e+25,2.063238e+37,1.240205e+37
