central_density,radius,mass
2.000000e+15,9.736973e+05,4.392596e+33
2.010000e+15,9.721169e+05,4.390769e+33
2.020000e+15,9.706484e+05,4.389523e+33
2.030000e+15,9.691955e+05,4.388219e+33
2.040000e+15,9.677196e+05,4.386738e+33
2.050000e+15,9.663565e+05,4.385849e+33
2.060000e+15,9.648103e+05,4.383539e+33
2.070000e+15,9.633775e+05,4.381831e+33
2.080000e+15,9.619573e+05,4.380057e+33
2.090000e+15,9.605197e+05,4.378157e+33
2.100000e+15,9.591938e+05,4.376844e+33
2.110000e+15,9.576883e+05,4.374169e+33
2.120000e+15,9.562542e+05,4.372017e+33
2.130000e+15,9.549127e+05,4.369939e+33
2.140000e+15,9.535342e+05,4.367955e+33
2.150000e+15,9.521003e+05,4.365325e+33
2.160000e+15,9.507423e+05,4.362986e+33
2.170000e+15,9.493779e+05,4.360678e+33
2.180000e+15,9.479780e+05,4.358003e+33
2.190000e+15,9.466632e+05,4.355518e+33
2.200000e+15,9.452934e+05,4.352875e+33
2.210000e+15,9.440518e+05,4.350828e+33
2.220000e+15,9.426361e+05,4.347523e+33
2.230000e+15,9.412905e+05,4.344725e+33
2.240000e+15,9.400720e+05,4.342519e+33
2.250000e+15,9.386806e+05,4.339078e+33
2.260000e+15,9.373590e+05,4.336140e+33
2.270000e+15,9.361636e+05,4.333789e+33
2.280000e+15,9.347965e+05,4.330226e+33
2.290000e+15,9.334987e+05,4.327162e+33
2.300000e+15,9.323263e+05,4.324680e+33
2.310000e+15,9.309833e+05,4.321007e+33
2.320000e+15,9.297092e+05,4.317829e+33
2.330000e+15,9.285595e+05,4.315227e+33
2.340000e+15,9.272403e+05,4.311457e+33
2.350000e+15,9.259897e+05,4.308178e+33
2.360000e+15,9.248625e+05,4.305467e+33
2.370000e+15,9.235671e+05,4.301611e+33
2.380000e+15,9.223399e+05,4.298242e+33
2.390000e+15,9.212351e+05,4.295434e+33
2.400000e+15,9.199634e+05,4.291503e+33
2.410000e+15,9.187791e+05,4.288292e+33
2.420000e+15,9.175602e+05,4.284578e+33
2.430000e+15,9.164103e+05,4.281134e+33
2.440000e+15,9.152671e+05,4.277876e+33
2.450000e+15,9.140713e+05,4.274099e+33
2.460000e+15,9.129436e+05,4.270588e+33
2.470000e+15,9.117651e+05,4.266980e+33
2.480000e+15,9.106143e+05,4.263379e+33
2.490000e+15,9.095837e+05,4.260325e+33
2.500000e+15,9.083885e+05,4.256202e+33
2.510000e+15,9.072700e+05,4.252665e+33
2.520000e+15,9.061367e+05,4.248883e+33
2.530000e+15,9.050605e+05,4.245250e+33
2.540000e+15,9.039917e+05,4.241807e+33
2.550000e+15,9.028707e+05,4.237873e+33
2.560000e+15,9.018556e+05,4.234651e+33
2.570000e+15,9.007119e+05,4.230443e+33
2.580000e+15,8.996346e+05,4.226698e+33
2.590000e+15,8.986751e+05,4.223485e+33
2.600000e+15,8.975533e+05,4.219255e+33
2.610000e+15,8.965173e+05,4.215703e+33
2.620000e+15,8.954466e+05,4.211704e+33
2.630000e+15,8.944609e+05,4.208180e+33
2.640000e+15,8.933873e+05,4.204144e+33
2.650000e+15,8.923595e+05,4.200342e+33
2.660000e+15,8.914484e+05,4.197061e+33
2.670000e+15,8.903761e+05,4.192794e+33
2.680000e+15,8.893891e+05,4.189192e+33
2.690000e+15,8.883672e+05,4.185158e+33
2.700000e+15,8.874494e+05,4.181807e+33
2.710000e+15,8.864043e+05,4.177528e+33
2.720000e+15,8.854245e+05,4.173697e+33
2.730000e+15,8.845600e+05,4.170377e+33
2.740000e+15,8.835186e+05,4.166075e+33
2.750000e+15,8.825958e+05,4.162475e+33
2.760000e+15,8.816209e+05,4.158431e+33
2.770000e+15,8.807492e+05,4.155055e+33
2.780000e+15,8.797507e+05,4.150778e+33
2.790000e+15,8.788372e+05,4.147151e+33
2.800000e+15,8.778883e+05,4.143110e+33
2.810000e+15,8.770022e+05,4.139315e+33
2.820000e+15,8.761246e+05,4.135712e+33
2.830000e+15,8.751619e+05,4.131634e+33
2.840000e+15,8.743680e+05,4.128302e+33
2.850000e+15,8.734146e+05,4.124047e+33
2.860000e+15,8.725458e+05,4.120430e+33
2.870000e+15,8.716414e+05,4.116412e+33
2.880000e+15,8.708393e+05,4.113044e+33
2.890000e+15,8.699107e+05,4.108807e+33
2.900000e+15,8.690666e+05,4.105204e+33
2.910000e+15,8.681865e+05,4.101203e+33
2.920000e+15,8.673680e+05,4.097442e+33
2.930000e+15,8.665583e+05,4.093873e+33
2.940000e+15,8.656637e+05,4.089847e+33
2.950000e+15,8.649362e+05,4.086547e+33
2.960000e+15,8.640498e+05,4.082356e+33
2.970000e+15,8.632475e+05,4.078787e+33
2.980000e+15,8.624093e+05,4.074832e+33
2.990000e+15,8.616725e+05,4.071511e+33
3.000000e+15,8.608094e+05,4.067349e+33
3.010000e+15,8.600303e+05,4.063807e+33
3.020000e+15,8.592151e+05,4.059881e+33
3.030000e+15,8.584601e+05,4.056189e+33
3.040000e+15,8.577142e+05,4.052688e+33
3.050000e+15,8.568997e+05,4.048767e+33
3.060000e+15,8.562183e+05,4.045512e+33
3.070000e+15,8.553947e+05,4.041413e+33
3.080000e+15,8.546549e+05,4.037923e+33
3.090000e+15,8.538787e+05,4.034059e+33
3.100000e+15,8.532032e+05,4.030815e+33
3.110000e+15,8.524013e+05,4.026753e+33
3.120000e+15,8.516833e+05,4.023299e+33
3.130000e+15,8.509285e+05,4.019473e+33
3.140000e+15,8.502330e+05,4.015875e+33
3.150000e+15,8.495468e+05,4.012467e+33
3.160000e+15,8.488080e+05,4.008673e+33
3.170000e+15,8.481693e+05,4.005488e+33
3.180000e+15,8.474043e+05,4.001502e+33
3.190000e+15,8.467229e+05,3.998113e+33
3.200000e+15,8.460046e+05,3.994360e+33
3.210000e+15,8.453867e+05,3.991216e+33
3.220000e+15,8.446419e+05,3.987273e+33
3.230000e+15,8.439807e+05,3.983925e+33
3.240000e+15,8.433884e+05,3.980657e+33
3.250000e+15,8.426427e+05,3.976730e+33
3.260000e+15,8.420124e+05,3.973434e+33
