central_density,radius,mass
1.970000e+15,1.088642e+06,3.936519e+33
1.980000e+15,1.087000e+06,3.933744e+33
1.990000e+15,1.085792e+06,3.934035e+33
2.000000e+15,1.084248e+06,3.931920e+33
2.010000e+15,1.082496e+06,3.928183e+33
2.020000e+15,1.081292e+06,3.927859e+33
2.030000e+15,1.079776e+06,3.925806e+33
2.040000e+15,1.078296e+06,3.923594e+33
2.050000e+15,1.076882e+06,3.922040e+33
2.060000e+15,1.075381e+06,3.919715e+33
2.070000e+15,1.073922e+06,3.917409e+33
2.080000e+15,1.072449e+06,3.915361e+33
2.090000e+15,1.071040e+06,3.913034e+33
2.100000e+15,1.069627e+06,3.911304e+33
2.110000e+15,1.068162e+06,3.908832e+33
2.120000e+15,1.066788e+06,3.906767e+33
2.130000e+15,1.065617e+06,3.905825e+33
2.140000e+15,1.064185e+06,3.903610e+33
2.150000e+15,1.062551e+06,3.899888e+33
2.160000e+15,1.061441e+06,3.899064e+33
2.170000e+15,1.060025e+06,3.896614e+33
2.180000e+15,1.058413e+06,3.892852e+33
2.190000e+15,1.057327e+06,3.892100e+33
2.200000e+15,1.055940e+06,3.889768e+33
2.210000e+15,1.054577e+06,3.887092e+33
2.220000e+15,1.053218e+06,3.885066e+33
2.230000e+15,1.051901e+06,3.882380e+33
2.240000e+15,1.050574e+06,3.880011e+33
2.250000e+15,1.049204e+06,3.877213e+33
2.260000e+15,1.047940e+06,3.875204e+33
2.270000e+15,1.046873e+06,3.874218e+33
2.280000e+15,1.045396e+06,3.870613e+33
2.290000e+15,1.044005e+06,3.867839e+33
2.300000e+15,1.042973e+06,3.866450e+33
2.310000e+15,1.041658e+06,3.863916e+33
2.320000e+15,1.040162e+06,3.860375e+33
2.330000e+15,1.039148e+06,3.858923e+33
2.340000e+15,1.037852e+06,3.856345e+33
2.350000e+15,1.036377e+06,3.852788e+33
2.360000e+15,1.035380e+06,3.851275e+33
2.370000e+15,1.034104e+06,3.848664e+33
2.380000e+15,1.032885e+06,3.846460e+33
2.390000e+15,1.031606e+06,3.843463e+33
2.400000e+15,1.030418e+06,3.840914e+33
2.410000e+15,1.029220e+06,3.838693e+33
2.420000e+15,1.027972e+06,3.835741e+33
2.430000e+15,1.026809e+06,3.833208e+33
2.440000e+15,1.025869e+06,3.832321e+33
2.450000e+15,1.024408e+06,3.828033e+33
