radius,rest_mass_density,gravitational_mass,pressure,energy_density
5.842000e+02,3.989986e+15,9.003807e+24,4.278411e+36,7.276946e+36
5.867814e+02,3.989986e+15,9.094642e+24,4.278411e+36,7.276946e+36
5.893661e+02,3.989986e+15,9.186390e+24,4.278411e+36,7.276946e+36
5.919540e+02,3.989985e+15,9.279061e+24,4.278411e+36,7.276946e+36
5.945452e+02,3.989985e+15,9.372664e+24,4.278411e+36,7.276946e+36
5.971398e+02,3.989985e+15,9.467209e+24,4.278411e+36,7.276945e+36
5.997380e+02,3.989985e+15,9.562706e+24,4.278411e+36,7.276945e+36
6.023396e+02,3.989985e+15,9.659163e+24,4.278410e+36,7.276945e+36
6.049449e+02,3.989985e+15,9.756591e+24,4.278410e+36,7.276945e+36
6.075539e+02,3.989985e+15,9.854999e+24,4.278410e+36,7.276945e+36
6.101667e+02,3.989985e+15,9.954397e+24,4.278410e+36,7.276945e+36
6.127833e+02,3.989985e+15,1.005480e+25,4.278410e+36,7.276944e+36
6.154038e+02,3.989985e+15,1.015620e+25,4.278410e+36,7.276944e+36
6.180282e+02,3.989985e+15,1.025863e+25,4.278410e+36,7.276944e+36
6.206567e+02,3.989985e+15,1.036209e+25,4.278409e+36,7.276944e+36
6.232893e+02,3.989985e+15,1.046659e+25,4.278409e+36,7.276944e+36
6.259260e+02,3.989985e+15,1.057215e+25,4.278409e+36,7.276944e+36
6.285670e+02,3.989985e+15,1.067876e+25,4.278409e+36,7.276943e+36
6.312123e+02,3.989985e+15,1.078645e+25,4.278409e+36,7.276943e+36
6.338619e+02,3.989984e+15,1.089522e+25,4.278409e+36,7.276943e+36
6.365159e+02,3.989984e+15,1.100508e+25,4.278409e+36,7.276943e+36
6.391745e+02,3.989984e+15,1.111605e+25,4.278408e+36,7.276943e+36
6.418375e+02,3.989984e+15,1.122814e+25,4.278408e+36,7.276942e+36
6.445052e+02,3.989984e+15,1.134136e+25,4.278408e+36,7.276942e+36
6.471775e+02,3.989984e+15,1.145571e+25,4.278408e+36,7.276942e+36
6.498546e+02,3.989984e+15,1.157122e+25,4.278408e+36,7.276942e+36
6.525365e+02,3.989984e+15,1.168789e+25,4.278408e+36,7.276942e+36
