r,rho,m
1.3628920000e-05,1.0000000000e+15,1.8277680000e+01
1.3630310000e-05,1.0000000000e+15,1.8337040000e+01
1.3631700000e-05,1.0000000000e+15,1.8396600000e+01
1.3633090000e-05,1.0000000000e+15,1.8456340000e+01
1.3634480000e-05,1.0000000000e+15,1.8516280000e+01
1.3635870000e-05,1.0000000000e+15,1.8576420000e+01
1.3637260000e-05,1.0000000000e+15,1.8636750000e+01
1.3638650000e-05,1.0000000000e+15,1.8697280000e+01
1.3640040000e-05,1.0000000000e+15,1.8758000000e+01
1.3641430000e-05,1.0000000000e+15,1.8818920000e+01
1.3642820000e-05,1.0000000000e+15,1.8880040000e+01
1.3644210000e-05,1.0000000000e+15,1.8941360000e+01
1.3645600000e-05,1.0000000000e+15,1.9002870000e+01
1.3646980000e-05,1.0000000000e+15,1.9064590000e+01
1.3648370000e-05,1.0000000000e+15,1.9126500000e+01
1.3649760000e-05,1.0000000000e+15,1.9188620000e+01
1.3651140000e-05,1.0000000000e+15,1.9250940000e+01
1.3652530000e-05,1.0000000000e+15,1.9313460000e+01
1.3653920000e-05,1.0000000000e+15,1.9376190000e+01
1.3655300000e-05,1.0000000000e+15,1.9439120000e+01
1.3656690000e-05,1.0000000000e+15,1.9502250000e+01
1.3658080000e-05,1.0000000000e+15,1.9565590000e+01
1.3659460000e-05,1.0000000000e+15,1.9629130000e+01
1.3660850000e-05,1.0000000000e+15,1.9692880000e+01
1.3662230000e-05,1.0000000000e+15,1.9756840000e+01
1.3663620000e-05,1.0000000000e+15,1.9821000000e+01
1.3665000000e-05,1.0000000000e+15,1.9885370000e+01
1.3666380000e-05,1.0000000000e+15,1.9949950000e+01
1.3667770000e-05,1.0000000000e+15,2.0014750000e+01
1.3669150000e-05,1.0000000000e+15,2.0079750000e+01
1.3670530000e-05,1.0000000000e+15,2.0144960000e+01
1.3671920000e-05,1.0000000000e+15,2.0210390000e+01
1.3673300000e-05,1.0000000000e+15,2.0276020000e+01
1.3674680000e-05,1.0000000000e+15,2.0341880000e+01
1.3676060000e-05,1.0000000000e+15,2.0407940000e+01
1.3677440000e-05,1.0000000000e+15,2.0474220000e+01
1.3678830000e-05,1.0000000000e+15,2.0540710000e+01
1.3680210000e-05,1.0000000000e+15,2.0607420000e+01
1.3681590000e-05,1.0000000000e+15,2.0674350000e+01
1.3682970000e-05,1.0000000000e+15,2.0741490000e+01
1.3684350000e-05,1.0000000000e+15,2.0808860000e+01
1.3685730000e-05,1.0000000000e+15,2.0876440000e+01
1.3687110000e-05,1.0000000000e+15,2.0944240000e+01
1.3688490000e-05,1.0000000000e+15,2.1012260000e+01
1.3689870000e-05,1.0000000000e+15,2.1080500000e+01
1.3691250000e-05,1.0000000000e+15,2.1148970000e+01
1.3692620000e-05,1.0000000000e+15,2.1217650000e+01
1.3694000000e-05,1.0000000000e+15,2.1286560000e+01
1.3695380000e-05,1.0000000000e+15,2.1355690000e+01
1.3696760000e-05,1.0000000000e+15,2.1425050000e+01
1.3698140000e-05,1.0000000000e+15,2.1494630000e+01
1.3699510000e-05,1.0000000000e+15,2.1564440000e+01
1.3700890000e-05,1.0000000000e+15,2.1634480000e+01
1.3702270000e-05,1.0000000000e+15,2.1704740000e+01
1.3703640000e-05,1.0000000000e+15,2.1775230000e+01
1.3705020000e-05,1.0000000000e+15,2.1845950000e+01
1.3706400000e-05,1.0000000000e+15,2.1916900000e+01
1.3707770000e-05,1.0000000000e+15,2.1988080000e+01
1.3709150000e-05,1.0000000000e+15,2.2059490000e+01
1.3710520000e-05,1.0000000000e+15,2.2131130000e+01
1.3711900000e-05,1.0000000000e+15,2.2203010000e+01
1.3713270000e-05,1.0000000000e+15,2.2275120000e+01
1.3714640000e-05,1.0000000000e+15,2.2347460000e+01
1.3716020000e-05,1.0000000000e+15,2.2420040000e+01
1.3717390000e-05,1.0000000000e+15,2.2492850000e+01
1.3718770000e-05,1.0000000000e+15,2.2565900000e+01
1.3720140000e-05,1.0000000000e+15,2.2639190000e+01
1.3721510000e-05,1.0000000000e+15,2.2712710000e+01
1.3722880000e-05,1.0000000000e+15,2.2786480000e+01
1.3724260000e-05,1.0000000000e+15,2.2860480000e+01
1.3725630000e-05,1.0000000000e+15,2.2934730000e+01
1.3727000000e-05,1.0000000000e+15,2.3009210000e+01
1.3728370000e-05,1.0000000000e+15,2.3083940000e+01
1.3729740000e-05,1.0000000000e+15,2.3158910000e+01
1.3731110000e-05,1.0000000000e+15,2.3234120000e+01
1.3732480000e-05,1.0000000000e+15,2.3309580000e+01
1.3733850000e-05,1.0000000000e+15,2.3385280000e+01
