r,rho,m,P,H
2.7109730000e+05,1.8897670000e+15,8.1147203289e-02,1.6901090000e+36,7.1177560000e+05
2.7209730000e+05,1.8889720000e+15,8.2027957316e-02,1.6877310000e+36,7.0910630000e+05
2.7309730000e+05,1.8881750000e+15,8.2914897190e-02,1.6853480000e+36,7.0645590000e+05
2.7409730000e+05,1.8873760000e+15,8.3807922328e-02,1.6829600000e+36,7.0382420000e+05
2.7509720000e+05,1.8865730000e+15,8.4707133314e-02,1.6805660000e+36,7.0121100000e+05
2.7609720000e+05,1.8857690000e+15,8.5612530147e-02,1.6781670000e+36,6.9861610000e+05
2.7709720000e+05,1.8849610000e+15,8.6524112828e-02,1.6757620000e+36,6.9603940000e+05
2.7809720000e+05,1.8841510000e+15,8.7441881356e-02,1.6733520000e+36,6.9348060000e+05
2.7909720000e+05,1.8833380000e+15,8.8365886022e-02,1.6709360000e+36,6.9093950000e+05
2.8009720000e+05,1.8825230000e+15,8.9296126828e-02,1.6685150000e+36,6.8841590000e+05
2.8109720000e+05,1.8817040000e+15,9.0232654064e-02,1.6660890000e+36,6.8590960000e+05
2.8209720000e+05,1.8808840000e+15,9.1175417439e-02,1.6636570000e+36,6.8342050000e+05
2.8309720000e+05,1.8800600000e+15,9.2124517535e-02,1.6612200000e+36,6.8094830000e+05
2.8409720000e+05,1.8792340000e+15,9.3079904062e-02,1.6587780000e+36,6.7849290000e+05
2.8509710000e+05,1.8784060000e+15,9.4041627310e-02,1.6563310000e+36,6.7605410000e+05
2.8609710000e+05,1.8775750000e+15,9.5009687280e-02,1.6538780000e+36,6.7363180000e+05
2.8709710000e+05,1.8767410000e+15,9.5984083972e-02,1.6514200000e+36,6.7122560000e+05
2.8809710000e+05,1.8759040000e+15,9.6964867677e-02,1.6489580000e+36,6.6883550000e+05
2.8909710000e+05,1.8750650000e+15,9.7952038395e-02,1.6464900000e+36,6.6646130000e+05
2.9009710000e+05,1.8742240000e+15,9.8945646418e-02,1.6440170000e+36,6.6410290000e+05
2.9109710000e+05,1.8733800000e+15,9.9945641454e-02,1.6415390000e+36,6.6175990000e+05
2.9209710000e+05,1.8725330000e+15,1.0095212409e-01,1.6390560000e+36,6.5943240000e+05
2.9309710000e+05,1.8716830000e+15,1.0196504402e-01,1.6365680000e+36,6.5712010000e+05
2.9409710000e+05,1.8708310000e+15,1.0298440126e-01,1.6340750000e+36,6.5482290000e+05
2.9509700000e+05,1.8699770000e+15,1.0401029639e-01,1.6315770000e+36,6.5254060000e+05
2.9609700000e+05,1.8691190000e+15,1.0504262883e-01,1.6290740000e+36,6.5027310000e+05
2.9709700000e+05,1.8682600000e+15,1.0608154944e-01,1.6265660000e+36,6.4802010000e+05
2.9809700000e+05,1.8673970000e+15,1.0712695765e-01,1.6240540000e+36,6.4578160000e+05
2.9909700000e+05,1.8665320000e+15,1.0817895403e-01,1.6215370000e+36,6.4355740000e+05
3.0009700000e+05,1.8656650000e+15,1.0923748831e-01,1.6190150000e+36,6.4134740000e+05
3.0109700000e+05,1.8647940000e+15,1.1030261076e-01,1.6164880000e+36,6.3915140000e+05
3.0209700000e+05,1.8639220000e+15,1.1137432139e-01,1.6139570000e+36,6.3696930000e+05
3.0309700000e+05,1.8630460000e+15,1.1245267050e-01,1.6114200000e+36,6.3480080000e+05
3.0409700000e+05,1.8621690000e+15,1.1353765807e-01,1.6088800000e+36,6.3264600000e+05
