central_density,radius,mass
2.840000e+15,1.184507e+06,4.820586e+33
2.850000e+15,1.184104e+06,4.817746e+33
2.860000e+15,1.183664e+06,4.814308e+33
2.870000e+15,1.183268e+06,4.811445e+33
2.880000e+15,1.182834e+06,4.808055e+33
2.890000e+15,1.182444e+06,4.805242e+33
2.900000e+15,1.182017e+06,4.801828e+33
2.910000e+15,1.181632e+06,4.799064e+33
2.920000e+15,1.181210e+06,4.795703e+33
2.930000e+15,1.180832e+06,4.792911e+33
2.940000e+15,1.180299e+06,4.791852e+33
2.950000e+15,1.180042e+06,4.786862e+33
2.960000e+15,1.179558e+06,4.783414e+33
2.970000e+15,1.179148e+06,4.783119e+33
2.980000e+15,1.178785e+06,4.777447e+33
2.990000e+15,1.178460e+06,4.774788e+33
3.000000e+15,1.177982e+06,4.773931e+33
3.010000e+15,1.177703e+06,4.768902e+33
3.020000e+15,1.177271e+06,4.765592e+33
3.030000e+15,1.176880e+06,4.765443e+33
3.040000e+15,1.176607e+06,4.760426e+33
3.050000e+15,1.176298e+06,4.757852e+33
3.060000e+15,1.175639e+06,4.758978e+33
3.070000e+15,1.175572e+06,4.752133e+33
3.080000e+15,1.174918e+06,4.753301e+33
3.090000e+15,1.174582e+06,4.750777e+33
3.100000e+15,1.174442e+06,4.743274e+33
3.110000e+15,1.173877e+06,4.745188e+33
3.120000e+15,1.173507e+06,4.742124e+33
3.130000e+15,1.173180e+06,4.739628e+33
3.140000e+15,1.172815e+06,4.736623e+33
3.150000e+15,1.172493e+06,4.734186e+33
3.160000e+15,1.172132e+06,4.731152e+33
3.170000e+15,1.171815e+06,4.728774e+33
3.180000e+15,1.171458e+06,4.725801e+33
3.190000e+15,1.171146e+06,4.723393e+33
3.200000e+15,1.170793e+06,4.720482e+33
3.210000e+15,1.170485e+06,4.718134e+33
3.220000e+15,1.170137e+06,4.715193e+33
3.230000e+15,1.169833e+06,4.712907e+33
3.240000e+15,1.169489e+06,4.710028e+33
3.250000e+15,1.169189e+06,4.707712e+33
3.260000e+15,1.168810e+06,4.704600e+33
3.270000e+15,1.168394e+06,4.701411e+33
3.280000e+15,1.168138e+06,4.699239e+33
3.290000e+15,1.167841e+06,4.696599e+33
3.300000e+15,1.167548e+06,4.694437e+33
3.310000e+15,1.167217e+06,4.691738e+33
3.320000e+15,1.166930e+06,4.689710e+33
3.330000e+15,1.166599e+06,4.687052e+33
3.340000e+15,1.166315e+06,4.685033e+33
3.350000e+15,1.165991e+06,4.682520e+33
3.360000e+15,1.165706e+06,4.680516e+33
3.370000e+15,1.165305e+06,4.677393e+33
3.380000e+15,1.164949e+06,4.674910e+33
3.390000e+15,1.164744e+06,4.673105e+33
3.400000e+15,1.164427e+06,4.670705e+33
3.410000e+15,1.164156e+06,4.668942e+33
3.420000e+15,1.163836e+06,4.666537e+33
3.430000e+15,1.163567e+06,4.664801e+33
3.440000e+15,1.163179e+06,4.661908e+33
3.450000e+15,1.162826e+06,4.659546e+33
3.460000e+15,1.162880e+06,4.653308e+33
3.470000e+15,1.162334e+06,4.655839e+33
3.480000e+15,1.162064e+06,4.654176e+33
3.490000e+15,1.161962e+06,4.646755e+33
3.500000e+15,1.161704e+06,4.645228e+33
3.510000e+15,1.161307e+06,4.645470e+33
3.520000e+15,1.161062e+06,4.640981e+33
3.530000e+15,1.160804e+06,4.639019e+33
3.540000e+15,1.160412e+06,4.639308e+33
3.550000e+15,1.160250e+06,4.635568e+33
3.560000e+15,1.159959e+06,4.633627e+33
3.570000e+15,1.159553e+06,4.631068e+33
3.580000e+15,1.159372e+06,4.629771e+33
3.590000e+15,1.159086e+06,4.627891e+33
3.600000e+15,1.158844e+06,4.626692e+33
3.610000e+15,1.158550e+06,4.624781e+33
3.620000e+15,1.158498e+06,4.618272e+33
3.630000e+15,1.158135e+06,4.615878e+33
3.640000e+15,1.157802e+06,4.616479e+33
3.650000e+15,1.157650e+06,4.613036e+33
3.660000e+15,1.157371e+06,4.611324e+33
3.670000e+15,1.156979e+06,4.609048e+33
3.680000e+15,1.156814e+06,4.608018e+33
3.690000e+15,1.156539e+06,4.606372e+33
3.700000e+15,1.156232e+06,4.604814e+33
3.710000e+15,1.155991e+06,4.603211e+33
3.720000e+15,1.155825e+06,4.596272e+33
3.730000e+15,1.155674e+06,4.595402e+33
3.740000e+15,1.155321e+06,4.596245e+33
3.750000e+15,1.155181e+06,4.593036e+33
3.760000e+15,1.154870e+06,4.590974e+33
3.770000e+15,1.154611e+06,4.589645e+33
3.780000e+15,1.154386e+06,4.588741e+33
3.790000e+15,1.154078e+06,4.586770e+33
3.800000e+15,1.153916e+06,4.579977e+33
3.810000e+15,1.153697e+06,4.581700e+33
3.820000e+15,1.153520e+06,4.578071e+33
3.830000e+15,1.153140e+06,4.576061e+33
3.840000e+15,1.153011e+06,4.575580e+33
3.850000e+15,1.152752e+06,4.574285e+33
3.860000e+15,1.152375e+06,4.572347e+33
3.870000e+15,1.152457e+06,4.567060e+33
3.880000e+15,1.152087e+06,4.567717e+33
3.890000e+15,1.151961e+06,4.564808e+33
3.900000e+15,1.151666e+06,4.563322e+33
3.910000e+15,1.151425e+06,4.562058e+33
3.920000e+15,1.151219e+06,4.561516e+33
3.930000e+15,1.151141e+06,4.555118e+33
3.940000e+15,1.150772e+06,4.553335e+33
3.950000e+15,1.150577e+06,4.555393e+33
3.960000e+15,1.150415e+06,4.552083e+33
3.970000e+15,1.150126e+06,4.550475e+33
3.980000e+15,1.149939e+06,4.550191e+33
3.990000e+15,1.149657e+06,4.548929e+33
